program_code,program_name,catalog_id,course_title,credits,prereqs,coreqs,fees,attributes,description,CatalogYear
,,PH 0224,Critical Thinking,,,,,,,
,,SA 0140,Darkroom Photography,,,,,,,
,,CO 0350,Family Crisis Communication,,,,,,,
,,CO 0352,Global Mediated Activism,,,,,,,
,,IS 0235,Python Apps for Busn Analytics,,,,,,,
,,BI 0399M,Senior Capstone Seminar: Conservation Biology,,,,,,,
,,PY 0281G,Special Topics: Aging and Cognition,,,,,,,
,,CO 0559D,Special Topics: Communication Training and Development,,,,,,,
,,SW 0482G,Special Topics: Cybersecurity,,,,,,,
,,RS 0299D,"Special Topics: Martin Luther King, Jr.",,,,,,,
,,PY 0281H,Special Topics: Psychology of Diversity,,,,,,,
,,NS 0385A,Special Topics: Spirituality in Nursing,,,,,,,
,,CS 0201,Technical Skills for Liberal Arts Majors,,,,,,,
,,FE 0002,Transfer Student Experience,,,,,,,
,,CS 0320,Visual Analytics,,,,,,,
,,FE 0001,First Year Experience,,,,,,,
,,FE 0001,First Year Experience,,,,,,,
,,MA 0495C,Special Topics: Cryptography,,,,,,,
,,AS 0405A,"Special Topics: Study Away: Newport, Rhode Island: ""A Lively Experiment""",,,,,,,
,,PO 0190E,Special Topics: Turkey: A Nation of Contradictions in Turmoil,,,,,,,
,,CO 0559C,Special Topics: Work-Life Intersections,,,,,,,
,,FE 0002,Transfer Student Experience,,,,,,,
,,MD 0099,Comprehensive Exam,,,,,,,
,,FE 0001,First Year Experience,,,,,,,
,,FE 0001,First Year Experience,,,,,,,
,,CO 0248H,Health Communication for Healthcare Professionals,,,,,,,
,,BI 0107X,Human Anatomy and Physiology Lab I,,,,,,,
,,SW 0202,Software Design Methods,,,,,,,
,,SW 0201,Software Engineering Methods,,,,,,,
,,SW 0205,Software Testing and Maintenance,,,,,,,
,,AC 0585B,Special Topics Seminar: Forensic Accounting,,,,,,,
,,SL 0540A,Special Topics in English Acquisition Pedagogy: Research Practicum,,,,,,,
,,PY 0281C,Special Topics: Adult Development and Aging,,,,,,,
,,MA 0495B,Special Topics: Graph Theory,,,,,,,
,,SE 0568A,Special Topics: Instructional Strategies in the Inclusive Classroom,,,,,,,
,,AY 0390A,Special Topics: Introduction to Archaeology,,,,,,,
,,AY 0390B,Special Topics: North American Indians,,,,,,,
,,PH 0299D,Special Topics: Philosophy as a Way of Life,,,,,,,
,,PO 0190G,Special Topics: Seminar on Global Environmental Politics,,,,,,,
,,PO 0190F,Special Topics: State and Local Politics,,,,,,,
,,MD 0401A,Special Topics: Survey of Educational Technology Leadership,,,,,,,
,,PH 0299C,Special Topics: Thomistic Metaphysics,,,,,,,
,,RS 0299C,"Special Topics: Tradition and the Spirit of Place: Memory, Identity, and Community",,,,,,,
,,RS 0299C,"Special Topics: Tradition and the Spirit of Place: Memory, Identity, and Community",,,,,,,
,,PO 0190E,Special Topics: Turkey: A Nation of Contradictions in Turmoil,,,,,,,
,,FE 0002,Transfer Student Experience,,,,,,,
,,SE 0500,Autism Spectrum Disorders: Theories and Interventions,,,,,,,
,,MD 0099,Comp Exam: Schl Library Media,,,,,,,
,,MD 0099,Comprehensive Exam,,,,,,,
,,IS 0585C,Contemporary Topics: Database Systems for Business Analytics,,,,,,,
,,MD 0433,Critical Viewing of Television,,,,,,,
,,EG 0410,English Skills for Engineering Graduate Students,,,,,,,
,,FTM 0106I,Film Genres: Cult Cinema,,,,,,,
,,FE 0001,First Year Experience,,,,,,,
,,FE 0001,First Year Experience: Commuters,,,,,,,
,,FE 0001,First Year Experience: Cornerstone,,,,,,,
,,FE 0001,First Year Experience: Creative,,,,,,,
,,FE 0001,First Year Experience: JUHAN,,,,,,,
,,FE 0001,First Year Experience: Leadership,,,,,,,
,,FE 0001,First Year Experience: Magis,,,,,,,
,,FE 0001,First Year Experience: Men,,,,,,,
,,FE 0001,First Year Experience: Music,,,,,,,
,,FE 0001,First Year Experience: Service Learning,,,,,,,
,,FE 0001,First Year Experience: Social Justice,,,,,,,
,,FE 0001,First Year Experience: Spiritual Exploration,,,,,,,
,,FE 0001,First Year Experience: Sports,,,,,,,
,,FE 0001,First Year Experience: Women,,,,,,,
,,PS 0015,General Physics I,,,,,,,
,,PS 0015L,General Physics I Lab,,,,,,,
,,PS 0016,General Physics II,,,,,,,
,,PS 0016,General Physics II,,,,,,,
,,PS 0016L,General Physics II Lab,,,,,,,
,,PS 0016L,General Physics II Lab,,,,,,,
,,FT 0562,Human Sexuality and Sexual Dysfunction,,,,,,,
,,MA 0019,Introduction to Calculus,,,,,,,
,,MU 0113,Introduction to Piano and the Elements of Music,,,,,,,
,,SE 0441,Parents and Families of Individuals with Disabilities,,,,,,,
,,CN 0403A,Seminar in Special Topics: Domestic Violence in Nicaragua,,,,,,,
,,SA 0300,Seminar: Junior Project,,,,,,,
,,SW 0202,Software Design Methods,,,,,,,
,,SW 0202,Software Design Methods,,,,,,,
,,SW 0201,Software Engineering Methods,,,,,,,
,,SW 0205,Software Testing and Maintenance,,,,,,,
,,BI 0381A,Special Topics Seminar: Biology of Cancer,,,,,,,
,,BI 0383A,Special Topics Seminar: Coral Reef Ecology,,,,,,,
,,AC 0585B,Special Topics Seminar: Forensic Accounting,,,,,,,
,,TA 0300B,Special Topics: Acting the Medical Patient,,,,,,,
,,CL 0199A,Special Topics: Ancient Historians as Literature,,,,,,,
,,BL 0100A,Special Topics: Black Lives Matter,,,,,,,
,,PY 0281B,Special Topics: Cross-Cultural Perspectives on Lifespan Development,,,,,,,
,,MA 0495A,Special Topics: History of Mathematics,,,,,,,
